Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0603",39.443400,-86.738600,90.000000,top
"C5","0.01uF","C_0603",44.193400,-90.738600,0.000000,top
"C7","0.1uF","C_0603",50.193400,-88.488600,180.000000,top
"C8","0.1uF","C_0603",89.159200,-65.815400,90.000000,top
"C9","0.1uF","C_0603",118.394600,-73.664000,90.000000,top
"C10","0.1uF","C_0603",110.114200,-73.664000,90.000000,top
"C11","22pF","C_0603",82.504400,-88.954800,225.000000,top
"C12","22pF","C_0603",89.032200,-85.551200,45.000000,top
"C13","0.1uF","C_0603",117.124600,-84.636800,270.000000,top
"C14","0.1uF","C_0603",96.576000,-74.121200,225.000000,top
"C15","0.1uF","C_0603",95.458400,-72.952800,45.000000,top
"D1","B340","D_SMA",44.506000,-93.450600,180.000000,top
"D2","RX Red","LED_0603",84.358600,-65.942400,0.000000,top
"D3","TX Green","LED_0603",80.675600,-65.942400,180.000000,top
"D4","D_RESET","D_SMA",92.131000,-65.764600,270.000000,top
"D5","Debug LED","LED_0603",102.087800,-78.972600,270.000000,top
"R1","10k","R_0603",82.733000,-74.832400,180.000000,top
"R2","10k","R_0603",82.758400,-73.003600,180.000000,top
"R3","10k","R_0805",51.458640,-86.024160,90.000000,top
"R4","3.24k","R_0805",49.208640,-86.024160,270.000000,top
"R5","120","R_0603",110.139600,-65.002600,90.000000,top
"R6","22k","R_0603",99.979600,-64.977200,270.000000,top
"R7","1k","R_0603",89.159200,-62.894400,270.000000,top
"R8","10k","R_0603",117.581800,-71.403400,0.000000,top
"R9","10k","R_0603",111.003200,-71.352600,180.000000,top
"R10","1k","R_0603",85.120600,-68.203000,90.000000,top
"R11","1k","R_0603",79.837400,-68.191000,90.000000,top
"R12","10k","R_0603",94.823400,-65.725800,90.000000,top
"R13","10k","R_0603",116.819800,-73.689400,270.000000,top
"R14","10k","R_0603",111.739800,-73.664000,270.000000,top
"R15","1k","R_0603",99.878000,-79.785400,0.000000,top
"R16","10k","R_0603",115.549800,-84.636800,270.000000,top
"R17","10k","R_0603",116.362600,-86.821200,0.000000,top
"U3","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",44.193400,-86.988600,180.000000,top
"U5","74HC14D","SOIC-14_N",113.009800,-79.226600,180.000000,top
"U6","ATmega328P-AU","TQFP-32_7x7mm_Pitch0.8mm",90.363400,-77.488600,45.000000,top
